id|answer_index|anwer|alternate_answer|answer_value|answer_value_type|answer_description|answer_image|image_source|image_source_url|answer_dimensions|quiz_id|active
361|2|Victoria||0|0|Victoria||||[145.3906, -36.9848]|26|1
362|3|Queensland||0|0|Queensland||||[144.0848, -22.5752]|26|1
363|4|South Australia||0|0|South Australia||||[136.2092, -30.0002]|26|1
364|5|Western Australia||0|0|Western Australia||||[121.6283, -27.6728]|26|1
365|6|Tasmania||0|0|Tasmania||||[146.8087, -42.0409]|26|1
366|7|Northern Territory||0|0|Northern Territory||||[134, -19.4914]|26|1
367|8|Australia's Capital Territory|ACT|0|0|ACT|[-15,-15]|||[149.0124, -35.4735]|26|1
368|1|Alabama||5024279|5024279|Alabama|[0, 0]|||[-86, 32.31823]|27|1
369|2|Alaska||733391|733391|Alaska|[0, 0]|||[-112, 28]|27|1
370|3|Arizona||113990|113990|Arizona|[0, 0]|||[-111, 34]|27|1
371|4|Arkansas||53179|53179|Arkansas|[0, 0]|||[-92, 35.4]|27|1
372|5|California||39538223|39538223|California|[0, 0]|||[-121, 37]|27|1
373|6|Colorado||104094|104094|Colorado|[0, 0]|||[-105, 39]|27|1
374|7|Connecticut||3605944|3605944|Connecticut|[0, 0]|||[-70, 41]|27|1
375|8|Delaware||989948|989948|Delaware|[0, 0]|||[-72, 38.5]|27|1
376|9|Florida||21538187|21538187|Florida|[0, 0]|||[-80, 28]|27|1
377|10|Georgia||59425|59425|Georgia|[0, 0]|||[-82.7, 33]|27|1
378|11|Hawaii||10932|10932|Hawaii|[0, 0]|||[-99, 24]|27|1
379|12|Idaho||83569|83569|Idaho|[0, 0]|||[-114, 43.5]|27|1
380|13|Illinois||12812508|12812508|Illinois|[0, 0]|||[-88.6, 40]|27|1
381|14|Indiana||36420|36420|Indiana|[0, 0]|||[-85.2, 40.3]|27|1
382|15|Iowa||56273|56273|Iowa|[0, 0]|||[-92.5, 42]|27|1
383|16|Kansas||2937880|2937880|Kansas|[0, 0]|||[-98, 38.5]|27|1
384|17|Kentucky||4505836|4505836|Kentucky|[0, 0]|||[-85, 37.2]|27|1
385|18|Louisiana||4657757|4657757|Louisiana|[0, 0]|||[-90.5, 30.4]|27|1
386|19|Maine||1362359|1362359|Maine|[0, 0]|||[-67.5, 45.2]|27|1
387|20|Maryland||6177224|6177224|Maryland|[0, 0]|||[-72, 37.6]|27|1
388|21|Massachusetts||10554|10554|Massachusetts|[0, 0]|||[-69, 42]|27|1
389|22|Michigan||10077331|10077331|Michigan|[0, 0]|||[-82.5, 44]|27|1
390|23|Minnesota||5706494|5706494|Minnesota|[0, 0]|||[-93, 47.5]|27|1
391|24|Mississippi||48432|48432|Mississippi|[0, 0]|||[-87.5, 31.5]|27|1
392|25|Missouri||6154913|6154913|Missouri|[0, 0]|||[-91.7, 37.7]|27|1
393|26|Montana||1084225|1084225|Montana|[0, 0]|||[-109.533691, 46.96526]|27|1
394|27|Nebraska||1961504|1961504|Nebraska|[0, 0]|||[-100, 41.5]|27|1
395|28|Nevada||3104614|3104614|Nevada|[0, 0]|||[-117.224121, 39.876019]|27|1
396|29|New Hampshire||1377529|1377529|New Hampshire|[0, 0]|||[-71.5, 44]|27|1
397|30|New Jersey||9288994|9288994|New Jersey|[0, 0]|||[-71, 39]|27|1
398|31|New Mexico||2117522|2117522|New Mexico|[0, 0]|||[-105.5, 34]|27|1
399|32|New York||20201249|20201249|New York|[0, 0]|||[-75.5, 43]|27|1
400|33|North Carolina||10439388|10439388|North Carolina|[0, 0]|||[-78, 35.3]|27|1
401|34|North Dakota||779094|779094|North Dakota|[0, 0]|||[-99.8, 48]|27|1
402|35|Ohio||44826|44826|Ohio|[0, 0]|||[-82.5, 41]|27|1
403|36|Oklahoma||69899|69899|Oklahoma|[0, 0]|||[-96.8, 35.5]|27|1
404|37|Oregon||4237256|4237256|Oregon|[0, 0]|||[-120.5, 44]|27|1
405|38|Pennsylvania||13002700|13002700|Pennsylvania|[0, 0]|||[-77, 41]|27|1
406|39|Rhode Island||1545|1545|Rhode Island|[1, 11]|||[-70, 41]|27|1
407|40|South Carolina||5118425|5118425|South Carolina|[0, 0]|||[-78, 33]|27|1
408|41|South Dakota||886667|886667|South Dakota|[0, 0]|||[-99.5, 44.5]|27|1
409|42|Tennessee||42144|42144|Tennessee|[0, 0]|||[-86, 35.7]|27|1
410|43|Texas||29145505|29145505|Texas|[0, 0]|||[-100, 31]|27|1
411|44|Utah||84897|84897|Utah|[0, 0]|||[-111, 39]|27|1
412|45|Vermont||643077|643077|Vermont|[0, 0]|||[-73.5, 45.5]|27|1
413|46|Virginia||8631393|8631393|Virginia|[0, 0]|||[-78, 37]|27|1
414|47|Washington||7705281|7705281|Washington|[0, 0]|||[-120, 47]|27|1
415|48|West Virginia||24230|24230|West Virginia|[0, 0]|||[-80.5, 39]|27|1
416|49|Wisconsin||5893718|5893718|Wisconsin|[0, 0]|||[-89.5, 44.5]|27|1
417|50|Wyoming||581348|581348|Wyoming|[0, 0]|||[-107.290283, 43.07597]|27|1
418|1|Afghanistan||0|0|Afghanistan||||[67.71, 33.94]|28|1
419|2|Armenia||0|0|Armenia|[0,-40]|||[45.04, 40.07]|28|1
420|3|Azerbaijan||0|0|Azerbaijan||||[47.58, 40.14]|28|1
421|4|Bahrain||0|0|Bahrain|[10, -10]|||[50.64, 25.93]|28|1
422|5|Bangladesh||0|0|Bangladesh||||[90.36, 23.68]|28|1
423|6|Bhutan||0|0|Bhutan|[10, -10]|||[88, 26]|28|1
424|7|British Indian Ocean Territory|BIOT|0|0|British Indian Ocean Territory||||[71.88, -6.34]|28|1
425|8|Brunei||0|0|Brunei||||[114.73, 4.54]|28|1
426|9|Cambodia||0|0|Cambodia||||[104.99, 12.57]|28|1
427|10|China||0|0|China||||[104.2, 35.86]|28|1
428|11|Cocos Islands||0|0|Cocos (Keeling) Islands||||[96.87, -12.16]|28|1
429|12|Georgia||0|0|Georgia|[-27, -7]|||[43.36, 42.32]|28|1
430|13|Hong Kong||0|0|Hong Kong|[0, -10]|||[114.11, 22.4]|28|1
431|14|India||0|0|India||||[78.96, 20.59]|28|1
432|15|Indonesia||0|0|Indonesia|[0, 10]|||[113.92, -0.79]|28|1
433|16|Iran||0|0|Iran|[10, -10]|||[53.69, 32.43]|28|1
434|17|Iraq||0|0|Iraq||||[43.68, 33.22]|28|1
435|18|Israel||0|0|Israel|[-5, 0]|||[34.85, 31.05]|28|1
436|19|Japan||0|0|Japan|[10, -5]|||[138.25, 36.2]|28|1
437|20|Jordan||0|0|Jordan|[-5, 20]|||[36.24, 30.59]|28|1
438|21|Kazakhstan||0|0|Kazakhstan||||[66.92, 48.02]|28|1
439|22|Kuwait||0|0|Kuwait|[0, -5]|||[47.48, 29.31]|28|1
440|23|Kyrgyzstan||0|0|Kyrgyzstan||||[80, 41.7]|28|1
441|24|Laos||0|0|Laos|[5, 10]|||[102.5, 19.86]|28|1
442|25|Lebanon||0|0|Lebanon||||[35.86, 33.85]|28|1
443|26|Macau||0|0|Macau|[0, 15]|||[113.54, 22.2]|28|1
444|27|Malaysia||0|0|Malaysia||||[101.98, 4.21]|28|1
445|28|Maldives||0|0|Maldives||||[73.22, 3.2]|28|1
446|29|Mongolia||0|0|Mongolia||||[103.85, 46.86]|28|1
447|30|Myanmar|Burma|0|0|Myanmar||||[95.96, 20.5]|28|1
448|31|Nepal||0|0|Nepal|[0, -20]|||[84.12, 28.39]|28|1
449|32|North Korea||0|0|North Korea||||[127.51, 40.34]|28|1
450|33|Oman||0|0|Oman|[0, 15]|||[55.92, 21.51]|28|1
451|34|Pakistan||0|0|Pakistan||||[69.35, 30.38]|28|1
452|35|Philippines||0|0|Philippines||||[121.77, 11]|28|1
453|36|Qatar||0|0|Qatar|[-15, 10]|||[51.18, 25.35]|28|1
454|37|Saudi Arabia||0|0|Saudi Arabia|[0, 15]|||[45.08, 22.5]|28|1
455|38|Singapore||0|0|Singapore||||[103.82, 1.35]|28|1
456|39|South Korea||0|0|South Korea||||[127.77, 35.91]|28|1
457|40|Sri Lanka||0|0|Sri Lanka||||[80.77, 7.87]|28|1
458|41|Syria||0|0|Syria|[0, -10]|||[39, 34.8]|28|1
459|42|Taiwan||0|0|Taiwan|[10, -20]|||[120.96, 23.7]|28|1
460|43|Tajikistan||0|0|Tajikistan|[10, 10]|||[71.28, 38.86]|28|1
461|44|Thailand||0|0|Thailand|[-10, 5]|||[100.99, 15.87]|28|1
462|45|Turkey||0|0|Turkey||||[35.24, 38.96]|28|1
463|46|Turkmenistan||0|0|Turkmenistan||||[59.56, 38.97]|28|1
464|47|United Arab Emirates|UAE|0|0|U.A.E|[20, 5]|||[53.85, 23.42]|28|1
465|48|Uzbekistan||0|0|Uzbekistan|[0, -10]|||[64.59, 41.38]|28|1
466|49|Vietnam||0|0|Vietnam||||[115, 14.2]|28|1
467|50|Yemen||0|0|Yemen||||[48.52, 15.55]|28|1
468|1|Hungary||0|0|Hungary|[35,-10]|||[19.503304, 47.162494]|29|1
469|2|Belarus||0|0|Belarus|[30, 20]|||[27.953389, 53.709807]|29|1
470|3|Austria||0|0|Austria|[15,-10]|||[14.550072, 47.516231]|29|1
471|4|Serbia||0|0|Serbia|[50, 20]|||[21.005859, 44.016521]|29|1
472|5|Switzerland||0|0|Switzerland|[-30, 20]|||[8.227512, 46.818188]|29|1
473|6|Germany||0|0|Germany|[10,-15]|||[10.451526, 51.165691]|29|1
474|7|Vatican City|Holy See|0|0|Vatican City|[-20, 25]|||[12.453389, 41.902916]|29|1
475|8|Andorra||0|0|Andorra||||[1.601554, 42.546245]|29|1
476|9|Bulgaria||0|0|Bulgaria|[70, 15]|||[25.48583, 42.733883]|29|1
477|10|England||0|0|England|[-50, -40]|||[-3.435973, 55.378051]|29|1
478|11|France||0|0|France|[-50, -10]|||[2.213749, 46.227638]|29|1
479|12|Montenegro||0|0|Montenegro||||[19.37439, 42.708678]|29|1
480|13|Luxembourg||0|0|Luxembourg|[-90, -10]|||[6.129583, 49.815273]|29|1
481|14|Italy||0|0|Italy||||[12.56738, 41.87194]|29|1
482|15|Denmark||0|0|Denmark||||[9.501785, 56.26392]|29|1
483|16|Finland||0|0|Finland||||[25.748151, 61.92411]|29|1
484|17|Slovakia||0|0|Slovakia|[20,-20]|||[19.699024, 48.669026]|29|1
485|18|Norway||0|0|Norway||||[8.468946, 60.472024]|29|1
486|19|Ireland||0|0|Ireland||||[-8.24389, 53.41291]|29|1
487|20|Spain||0|0|Spain||||[-3.74922, 40.463667]|29|1
488|21|Malta||0|0|Malta||||[14.375416, 35.937496]|29|1
489|22|Ukraine||0|0|Ukraine||||[31.16558, 48.379433]|29|1
490|23|Croatia||0|0|Croatia||||[15.2, 45.1]|29|1
491|24|Moldova||0|0|Moldova|[30,20]|||[28.369885, 47.411631]|29|1
492|25|Monaco||0|0|Monaco|[-25, 25]|||[7.412841, 43.750298]|29|1
493|26|Liechtenstein||0|0|Liechtenstein|[-25, -15]|||[9.555373, 47.166]|29|1
494|27|Poland||0|0|Poland|[20, -15]|||[19.145136, 51.919438]|29|1
495|28|Iceland||0|0|Iceland||||[-19.020835, 64.963051]|29|1
496|29|San Marino||0|0|San Marino|[-20,10]|||[12.457777, 43.94236]|29|1
497|30|Bosnia and Herzegovina|Bosnia|0|0|Bosnia||||[17.679076, 43.915886]|29|1
498|31|Albania||0|0|Albania|[-10,10]|||[20.168331, 41.153332]|29|1
499|32|Lithuania||0|0|Lithuania||||[23.881275, 55.169438]|29|1
500|33|Macedonia|North Macedonia|0|0|Macedonia|[40,20]|||[21.745275, 41.608635]|29|1
501|34|Slovenia||0|0|Slovenia|[0,-10]|||[14.995463, 46.151241]|29|1
502|35|Romania||0|0|Romania|[30, 20]|||[24.96676, 45.943161]|29|1
503|36|Latvia||0|0|Latvia||||[24.603189, 56.879635]|29|1
504|37|Netherlands||0|0|Netherlands|[0, -20]|||[5.291266, 52.132633]|29|1
505|38|Russia||0|0|Russia||||[105.318756, 61.52401]|29|1
506|39|Estonia||0|0|Estonia||||[25.013607, 58.595272]|29|1
507|40|Belgium||0|0|Belgium||||[4.469936, 50.503887]|29|1
508|41|Czech Republic|Czechia|0|0|Czechia|[0,-15]|||[15.472962, 49.817492]|29|1
509|42|Greece||0|0|Greece|[0,20]|||[21.824312, 39.074208]|29|1
510|43|Portugal||0|0|Portugal|[0, 20]|||[-8.224454, 39.399872]|29|1
511|44|Sweden||0|0|Sweden||||[18.643501, 60.128161]|29|1
512|45|Scotland||0|0|Scotland|[0,-10]|||[-4.2026, 56.4907]|29|1
513|46|Wales||0|0|Wales||||[-3.7837, 52.1307]|29|1
514|47|NorthernIreland||0|0|Northern Ireland|[0,-5]|||[-6.4923, 54.7877]|29|1
515|1|Guyana||0|0|Guyana||||[-58.93018, 4.860416]|30|1
516|2|Paraguay||0|0|Paraguay||||[-58.443832, -23.442503]|30|1
517|3|Suriname||0|0|Suriname|[20,-20]|||[-56.027783, 3.919305]|30|1
518|4|Colombia||0|0|Colombia||||[-74.297333, 4.570868]|30|1
519|5|Argentina||0|0|Argentina||||[-63.616672, -38.416097]|30|1
520|6|Falkland Islands|Islas Malvinas|0|0|Falkland Islands||||[-59.523613, -51.796253]|30|1
521|7|Uruguay||0|0|Uruguay||||[-55.765835, -32.522779]|30|1
522|8|Peru||0|0|Peru||||[-75.015152, -9.189967]|30|1
523|9|French Guiana||0|0|French Guiana|[15, 15]|||[-53.125782, 3.933889]|30|1
524|10|Venezuela||0|0|Venezuela||||[-66.58973, 6.42375]|30|1
525|11|Brazil||0|0|Brazil||||[-51.92528, -14.235004]|30|1
526|12|Chile||0|0|Chile||||[-71.542969, -35.675147]|30|1
527|13|Ecuador||0|0|Ecuador||||[-78.183406, -1.831239]|30|1
528|14|Bolivia||0|0|Bolivia||||[-63.588653, -16.290154]|30|1
529|1|Djibouti||0|0|Djibouti||||[42.590275, 11.825138]|31|1
530|2|Seychelles||0|0|Seychelles||||[55.491977, -4.679574]|31|1
531|3|Democratic Republic of the Congo|DRC|0|0|D.R.C||||[21.758664, -4.038333]|31|1
532|4|Comoros||0|0|Comoros|[20,-5]|||[43.872219, -11.875001]|31|1
533|5|Togo||0|0|Togo||||[0.824782, 8.619543]|31|1
534|6|Sierra Leone||0|0|Sierra Leone|[-30,25]|||[-11.779889, 8.460555]|31|1
535|7|Libya||0|0|Libya||||[17.228331, 26.3351]|31|1
536|8|Tanzania||0|0|Tanzania|[5,5]|||[34.888822, -6.369028]|31|1
537|9|South Africa||0|0|South Africa|[-20,20]|||[22.937506, -30.559482]|31|1
538|10|Cape Verde|Cabo Verde|0|0|Cape Verde|[-25,-10]|||[-24.013197, 16.002082]|31|1
539|11|Republic of Congo|Congo|0|0|Congo|[15,-10]|||[15.827659, -0.228021]|31|1
540|12|Kenya||0|0|Kenya||||[37.906193, -0.023559]|31|1
541|13|Liberia||0|0|Liberia|[-35,30]|||[-9.429499, 6.428055]|31|1
542|14|Central African Republic|CAR|0|0|C.A.R||||[20.939444, 6.611111]|31|1
543|15|Mauritania||0|0|Mauritania||||[-10.940835, 21.00789]|31|1
544|16|Uganda||0|0|Uganda|[0,-15]|||[32.290275, 1.373333]|31|1
545|17|Algeria||0|0|Algeria||||[1.659626, 28.033886]|31|1
546|18|Sudan||0|0|Sudan|[-20,-20]|||[30.217636, 12.862807]|31|1
547|19|Morocco||0|0|Morocco||||[-7.09262, 31.791702]|31|1
548|20|Eritrea||0|0|Eritrea||||[39.782334, 15.179384]|31|1
549|21|Angola||0|0|Angola||||[17.873887, -11.202692]|31|1
550|22|Mozambique||0|0|Mozambique|[50,50]|||[35.529562, -18.665695]|31|1
551|23|Ghana||0|0|Ghana|[-20,-25]|||[-1.023194, 7.946527]|31|1
552|24|Madagascar||0|0|Madagascar|[30,-20]|||[46.869107, -18.766947]|31|1
553|25|Cameroon||0|0|Cameroon|[15, -15]|||[12.354722, 7.369722]|31|1
554|26|Ivory Coast|Cote d'Ivoire|0|0|Cote d'Ivoire|[-5,15]|||[5.5471, 7.5400]|31|1
555|27|Namibia||0|0|Namibia|[-15, 10]|||[18.49041, -22.95764]|31|1
556|28|Niger||0|0|Niger||||[8.081666, 17.607789]|31|1
557|29|Gambia||0|0|Gambia||||[-15.310139, 13.443182]|31|1
558|30|Botswana||0|0|Botswana||||[24.684866, -22.328474]|31|1
559|31|Gabon||0|0|Gabon|[-30,50]|||[11.609444, -0.803689]|31|1
560|32|Sao Tome & Principe|Sao Tome and Principe|0|0|Sao Tome & Principe|[-50, 25]|||[6.613081, 0.18636]|31|1
561|33|Lesotho||0|0|Lesotho||||[28.233608, -29.609988]|31|1
562|34|Burkina Faso||0|0|Burkina Faso|[0,-15]|||[-1.561593, 12.238333]|31|1
563|35|Nigeria||0|0|Nigeria|[15,-20]|||[8.675277, 9.081999]|31|1
564|36|Mali||0|0|Mali||||[-3.996166, 17.570692]|31|1
565|37|Guinea-Bissau|Guinea Bissau|0|0|Guinea-Bissau|[-5,5]|||[-15.180413, 11.803749]|31|1
566|38|Malawi||0|0|Malawi||||[34.301525, -13.254308]|31|1
567|39|Zambia||0|0|Zambia|[-45,15]|||[27.849332, -13.133897]|31|1
568|40|Senegal||0|0|Senegal|[-30,-20]|||[-14.452362, 14.497401]|31|1
569|41|Chad||0|0|Chad||||[18.732207, 15.454166]|31|1
570|42|Somalia||0|0|Somalia||||[46.199616, 5.152149]|31|1
571|43|Zimbabwe||0|0|Zimbabwe|[0,0]|||[29.154857, -19.015438]|31|1
572|44|Equatorial Guinea||0|0|Equatorial Guinea|[-40,10]|||[10.267895, 1.650801]|31|1
573|45|Guinea||0|0|Guinea|[-20, 15]|||[-9.696645, 9.945587]|31|1
574|46|Rwanda||0|0|Rwanda||||[29.873888, -1.940278]|31|1
575|47|Mauritius||0|0|Mauritius||||[57.552152, -20.348404]|31|1
576|48|Benin||0|0|Benin|[10,-10]|||[2.315834, 9.30769]|31|1
577|49|Burundi||0|0|Burundi|[5, 10]|||[29.918886, -3.373056]|31|1
578|50|Tunisia||0|0|Tunisia||||[9.537499, 33.886917]|31|1
579|51|Eswatini|Swaziland|0|0|Eswatini||||[31.465866, -26.522503]|31|1
580|52|Ethiopia||0|0|Ethiopia||||[40.489673, 9.145]|31|1
581|53|South Sudan|Sudan|0|0|South Sudan||||[30.217636, 12.862807]|31|1
582|54|Egypt||0|0|Egypt||||[30.802498, 26.820553]|31|1
583|1|U2||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/72d68cec-4577-4030-fdae-570888bd7c00/public|U2Start|https://u2start.com/photos/view/40477/|cover|32|1
584|2|Talking Heads||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2dabfd3d-0732-4c25-c967-0042183b3600/public|Flickr|https://www.flickr.com/photos/52489759@N00|cover|32|1
585|3|Bruce Springsteen & The E Street Band|the e street band|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c707fccb-bfff-4a02-f242-0b937e66af00/public|Wikimedia|https://web.archive.org/web/20170103031111/https://upload.wikimedia.org/wikipedia/en/archive/8/8a/20150512161726%21Bruce_Springsteen_and_the_E_Street_Band_1977.jpg|cover|32|1
586|4|R.E.M|rem|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/078a54b6-f30d-4b02-287f-1f975a120a00/public|Wikimedia|https://en.wikipedia.org/wiki/User:JD554|cover|32|1
587|5|Poison||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/8a5d0e8a-db8a-4406-726d-2ded3a8cff00/public|Flickr|https://www.flickr.com/photos/127608843@N08/22183060302/|cover|32|1
588|6|Twisted Sister||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/04c503e9-9941-41f2-c027-e395fcaabb00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Fotandi|cover|32|1
589|7|Rat||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/975f7801-36cc-49fd-e91b-7e0bd3697a00/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Stubbsonic&action=edit&redlink=1|cover|32|1
590|8|The Smiths||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/16930252-7c09-4e1e-e109-ccf2def87400/public|Wikimedia Commons|https://commons.wikimedia.org/wiki/Main_Page|cover|32|1
591|9|AC/DC|acdc|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2dc99f4a-54e3-4f42-421a-ae74ff912f00/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Imhavingfun42&action=edit&redlink=1|cover|32|1
592|10|Guns n’ Roses|guns n roses|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/31624cdc-3cc6-49d5-a906-5975527e8e00/public|Flickr|https://www.flickr.com/photos/raph_ph/34592058233/in/album-72157682954368531/|cover|32|1
593|11|The Cure||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e1d0b824-781e-4543-1fd7-de3f3a993600/public|Flickr|https://www.flickr.com/photos/vortkamp/|cover|32|1
594|12|Bon Jovi||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/14872ada-7485-48a5-7aba-86f9f06ee700/public|Flickr|https://www.flickr.com/photos/mastermaq/2109063050/in/photostream/|cover|32|1
595|13|White Snake||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/70c1c227-61ab-4b7d-f9bf-20267a5e6100/public|Getty|(Image: Getty)|cover|32|1
596|14|Aerosmith||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/8338104a-31df-421c-53f3-d0476aaee600/public|Web Archive|https://web.archive.org/web/20030911122036/http://www.news.navy.mil/view_single.asp?id=9357|cover|32|1
597|15|Ozzy Osbourne||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4e31f65e-dd6f-4924-905e-973147403200/public|Flickr|https://www.flickr.com/people/98945462@N00|cover|32|1
598|16|Van Halen||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e2e793e2-5eff-4570-af37-62afb55c4c00/public|Copyright|GHOSTRIDER2112|cover|32|1
599|17|Scorpions||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bab8485f-a040-423c-1da1-70063719ce00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Kadellar|cover|32|1
600|18|New Order||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/da3b1bee-2ddc-40ab-ba65-796fe9f49c00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Thesupermat|cover|32|1
601|19|Simple Minds||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/b3add254-566b-437e-7361-0c96b5928700/public|Copyright|https://en.wikipedia.org/wiki/User:Exxolon|cover|32|1
602|20|Depeche Mode||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/dfc4e6bf-e35a-46a6-08da-5082fbc71a00/public|Copyright|photo: @themaladjustedguy|cover|32|1
603|1|Back to the Future||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6bb69731-a64a-4b7e-503b-980930c5e800/public|Universal Pictures|Universal|cover|33|1
604|2|The Terminator|Terminator|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/321043ed-e733-4e1a-1922-157dc909cc00/public|Orion Pictures|The Terminator (1984), Orion Pictures|cover|33|1
605|3|Robocop||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bafddd8e-849e-4163-6fd5-f924d04d3200/public|Orion Pictures|Robocop (1987), Orion Pictures|cover|33|1
606|4|Beetlejuice||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/dfb6e42c-9f20-49d6-6c0d-00e18ffafc00/public|Warner Bros|Beetlejuice (1988), Warner Bros|cover|33|1
607|5|Stand by me||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2fedf123-9eda-4767-336e-2cb6b2972c00/public|Columbia Pictures|Stand by Me (1986), Columbia Pictures|cover|33|1
608|6|Twins||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6278eaa7-f3b5-48f2-8c93-7db4aba37e00/public|Universal Pictures|Twins (1988), Universal Pictures|cover|33|1
609|7|Bladerunner||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/91561e19-db74-405f-d152-fc6719916200/public|Warner Bros|Bladerunner (1982), Warner Bros|cover|33|1
610|8|Beverly Hills Cop||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/40c45bb2-7de1-4112-5d12-dc5b02eb8000/public|Paramount Pictures|Beverly Hills Cop (1984), Paramount Pictures|cover|33|1
611|9|Top Gun||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5e4ad50f-31d8-4670-82aa-46e91a778400/public|Paramount Pictures|Top Gun (1986), Paramount Pictures|cover|33|1
612|10|Dirty Dancing||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3bafcc94-6254-4a66-036e-9359b2107a00/public|Vestron Pictures|Dirty Dancing (1987), Vestron Pictures|cover|33|1
613|11|The Goonies||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f578eb2a-4237-4271-1fcf-3fc0cae5e100/public|Amblin Entertainment|The Goonies (1985), Amblin Entertainment|cover|33|1
614|12|The Karate Kid|Karate Kid|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5d60b514-7391-431e-47bb-1a0763c9f200/public|Columbia Pictures|The Karate Kid (1984), Columbia Pictures|cover|33|1
615|13|Dead Poets Society||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/eb69a91c-efce-456c-532e-8addcd0e9c00/public|Bueno Vista Pictures / Warner Bros|Dead Poets Society (1989), Bueno Vista Pictures / Warner Bros|cover|33|1
616|14|Wall Street||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bcbb78fc-521b-4f01-f928-f9a7e1e68a00/public|20th Century Fox|Wall Street (1987), 20th Century Fox|cover|33|1
617|15|Rocky IV|Rocky 4|0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cf509784-3ab8-43ac-e380-b5b010406900/public|MGM/UA Entertainment|Rocky (1976), MGM/UA Entertainment|cover|33|1
618|16|Bill and Teds Excellent Adventure||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/40dfda18-0922-4069-cdad-2d75587e7e00/public|Orion Pictures|Bill and Ted's Excellent Adventure (1989), Orion Pictures|cover|33|1
619|17|The Breakfast Club||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e51ed5f3-374f-4f6f-5f8a-24d8ca42ec00/public|Universal Pictures|The Breakfast Club (1985), Universal Pictures|cover|33|1
620|18|Three Amigos||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ee31ef32-eb7d-44d1-5a8e-1d4354a8bf00/public|Orion Pictures|The Three Amigos (1986), Orion Pictures|cover|33|1
621|19|Big Trouble in Little China||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5590a04d-8cf4-45f3-18c0-744558edde00/public|20th Century Fox|Big Trouble in Little China (1986), 20th Century Fox|cover|33|1
622|20|The Princess Bride||0|0||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f4a0c2bd-b387-4d2f-1020-7667e021c300/public|20th Century Fox|The Princess Bride (1987), 20th Century Fox|cover|33|1
